val,length
38.365222204445494,16
25.992814713117472,32
20.00329615886128,64
17.047069564983918,128
11.035977720353646,256
10.925790582248762,512
8.88301029536941,1024
7.1713857470179105,2048
8.41482932120078,4096
9.128650253042753,8192
14.138112667928835,16384
207.5466573880326,32768
