val,test,length
192.04527980168874,193.79442824817704,16
116.99038159747474,116.8482825606092,32
78.36810948721056,77.80324464087637,64
59.15871788381257,58.494221287363565,128
49.74337002262258,49.159183857737304,256
45.360558763498254,44.797112082917145,512
43.48344276713312,42.804634321942316,1024
42.518434052019806,41.83351798939354,2048
42.18780581612656,41.49204745160455,4096
41.910046701873775,41.285468489235775,8192
42.09110511752805,41.39900539234054,16384
45.3868925608776,44.89974172209434,32768
169.34135383901938,181.91076760251278,65536
