val,test,length
155.32695233786023,155.7901101736757,16
89.41268814281813,88.76780760003628,32
57.466443818381364,56.85221105326999,64
42.44174472371343,41.859828236274204,128
35.28304249948972,34.80264456196308,256
31.91996489701562,31.51922907500766,512
30.4814505716721,30.01937796687325,1024
29.74323361092757,29.27220764292197,2048
29.452088261229342,28.979750951140957,4096
29.318147186620212,28.894546287555148,8192
31.304538318373677,30.8664879811364,16384
52.39687634318384,54.12526893521872,32768
